Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,James Posey\poseyja01,SF,33,NOH,77,1731,8.7,0.525,0.701,0.232,2.1,20.5,11.2,9.3,1.3,0.8,11.8,11.4,,1,1.4,2.4,0.067,,-2.4,0.6,-1.8,0.1
2,Keith Bogans\boganke01,SF,29,SAS,79,1559,7.7,0.542,0.658,0.168,1.9,11.2,6.6,8.5,1.5,0.6,14.2,11,,0.7,1.9,2.6,0.081,,-2.7,1.5,-1.2,0.3
3,Quentin Richardson\richaqu01,SF,29,MIA,76,2082,12.9,0.572,0.638,0.127,3.6,17.4,10.6,7,1.8,0.7,9.5,14.8,,2.7,3.1,5.8,0.133,,0.4,0.8,1.3,1.7
4,Shane Battier\battish01,SG,31,HOU,67,2168,11.1,0.541,0.624,0.237,3.8,13.1,8.2,10.9,1.2,2.6,11.5,11.4,,2.2,2.1,4.3,0.095,,0.1,1.4,1.5,1.9
5,Jason Kidd*\kiddja01,PG,36,DAL,80,2881,17.2,0.577,0.617,0.148,1.9,15.6,8.9,36.4,2.6,0.9,21.4,14.5,,4.8,4,8.9,0.148,,2.5,1.7,4.2,4.5
6,Chris Duhon\duhonch01,PG,27,NYK,67,2072,10.7,0.501,0.572,0.211,1.5,8.4,4.9,25.9,1.5,0.1,18.2,13.1,,1.5,0.5,1.9,0.045,,-1.2,-1.3,-2.5,-0.3
7,Mickaël Piétrus\pietrmi01,SF,27,ORL,75,1687,11.9,0.555,0.568,0.202,2.8,11.6,7.4,4.7,1.6,1.4,10.5,18,,1.2,2.5,3.6,0.103,,0,0.9,0.9,1.2
8,Steve Blake\blakest01,PG,29,TOT,80,2159,11.6,0.539,0.563,0.092,1.2,9.4,5.2,26.9,1.4,0.2,19.1,14.5,,1.9,1.4,3.3,0.074,,-0.1,-0.4,-0.5,0.8
9,Channing Frye\fryech01,C,26,PHO,81,2190,15,0.598,0.558,0.172,3.6,17.6,11,7.4,1.5,2.4,8.8,16.7,,4.3,2.2,6.4,0.141,,1.8,0.9,2.7,2.6
10,Anthony Parker\parkean01,SG,34,CLE,81,2289,9.9,0.576,0.549,0.2,1.6,10,6,9.9,1.4,0.6,12.1,12,,2.3,2.6,4.9,0.103,,-1,0.7,-0.3,1
11,Jared Dudley\dudleja01,SF,24,PHO,82,1991,13.6,0.612,0.535,0.282,5.9,9.8,8,7.9,2,0.6,11,13.7,,4,1.3,5.3,0.129,,1.4,0.7,2.1,2.1
12,Roger Mason\masonro01,SG,29,SAS,79,1515,9.7,0.49,0.532,0.069,0.9,11.5,6.3,13.5,1,0.7,10.4,17.2,,0.3,1.7,1.9,0.062,,-1.4,0.1,-1.2,0.3
13,Danilo Gallinari\gallida01,SF,21,NYK,81,2747,14.8,0.575,0.526,0.331,2.6,14,8.2,7.6,1.4,1.6,9.4,19.3,,4.1,1.5,5.6,0.098,,1.2,-0.7,0.5,1.7
14,Rashard Lewis\lewisra02,PF,30,ORL,72,2369,14,0.573,0.525,0.224,3.1,12.1,7.8,7.4,1.7,0.9,10.9,19.4,,3.1,3.4,6.5,0.132,,0.9,0.8,1.8,2.3
15,Mario Chalmers\chalmma01,PG,23,MIA,73,1807,10.7,0.519,0.52,0.242,1.6,7.1,4.4,21,2.7,0.5,19.7,16.3,,0.3,2.4,2.7,0.072,,-2.3,1.1,-1.3,0.3
16,Martell Webster\webstma02,SF,23,POR,82,2005,12.5,0.543,0.52,0.243,2.9,13.7,8.3,5,1.2,1.6,7.8,18.2,,2.4,2,4.4,0.105,,0.3,-0.3,0,1
17,Jason Williams\willija02,PG,34,ORL,82,1703,12.9,0.555,0.519,0.096,0.5,7.8,4.3,26.9,1.6,0.1,16.4,14.5,,2.5,2,4.5,0.127,,0.6,0.4,1,1.3
18,Mike Bibby\bibbymi01,PG,31,ATL,80,2195,12.7,0.538,0.503,0.123,1.1,8.8,4.9,20.8,1.6,0.1,11.7,16.1,,3,1.7,4.8,0.104,,0.1,-0.2,-0.2,1
19,Carlos Delfino\delfica01,SF,27,MIL,75,2279,12.9,0.526,0.499,0.163,2.4,18,9.8,14,1.8,0.7,13.2,18,,1.1,3.7,4.8,0.101,,-0.1,1.5,1.5,2
20,Rasual Butler\butlera01,SF,30,LAC,82,2702,10.7,0.524,0.497,0.167,1.7,8.7,5.1,6.8,0.7,1.9,7.8,17,,1.8,0.9,2.7,0.048,,-0.8,-1.1,-1.9,0.1
21,J.J. Redick\redicjj01,SG,25,ORL,82,1808,15,0.606,0.495,0.401,1.1,8.5,5,13.9,0.8,0.2,8.8,18.3,,4.7,1.8,6.5,0.173,,1.8,0.1,1.8,1.8
22,J.R. Smith\smithjr01,SG,24,DEN,75,2082,15,0.515,0.452,0.195,1.6,11.3,6.5,15,2.4,0.7,11,26.9,,0.6,2.1,2.7,0.062,,0.5,-0.4,0.1,1.1
23,Charlie Bell\bellch01,SG,30,MIL,71,1611,7.9,0.486,0.451,0.151,2.1,7.5,4.7,9.8,1.3,0.6,10.3,14.8,,0.1,1.9,2,0.06,,-2.9,0.5,-2.4,-0.2
24,Rasheed Wallace\wallara01,C,35,BOS,79,1780,13.1,0.504,0.446,0.192,3,19,11.2,7.3,2.4,3.1,8.2,20.2,,0.2,3.4,3.6,0.096,,-1.6,1.6,0,0.9
