Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,def_eFG%,def_TOV%,DRB%,def_FT/FGA,Arena,Attend.,Attend./G
1,Milwaukee Bucks*,29.2,56,17,57,16,10.08,-0.67,9.41,112.4,102.9,9.5,105.1,0.271,0.428,0.583,0.552,12.9,20.7,0.201,0.489,12,81.6,0.178,Fiserv Forum,549036,17711
2,Los Angeles Clippers*,27.4,49,23,50,22,6.44,0.21,6.66,113.9,107.6,6.3,101.5,0.295,0.375,0.577,0.535,12.6,23.5,0.233,0.506,12.2,77.6,0.206,STAPLES Center,610176,19068
3,Los Angeles Lakers*,29.5,52,19,48,23,5.79,0.49,6.28,112,106.3,5.7,100.9,0.276,0.358,0.573,0.542,13.3,24.5,0.201,0.515,14.1,78.8,0.205,STAPLES Center,588907,18997
4,Toronto Raptors*,26.6,53,19,50,22,6.24,-0.26,5.97,111.1,105,6.1,100.9,0.264,0.421,0.574,0.536,13.1,21.3,0.21,0.502,14.6,76.7,0.202,Scotiabank Arena,633456,19796
5,Boston Celtics*,25.3,48,24,50,22,6.31,-0.47,5.83,113.3,107,6.3,99.5,0.259,0.386,0.57,0.531,12.2,23.9,0.207,0.509,13.5,77.4,0.215,TD Garden,610864,19090
6,Dallas Mavericks*,26.1,43,32,49,26,4.95,-0.07,4.87,116.7,111.7,5,99.3,0.264,0.457,0.581,0.545,11.2,23.2,0.206,0.525,10.6,77.7,0.175,American Airlines Center,682096,20062
7,Houston Rockets*,29.2,44,28,42,30,2.96,0.17,3.13,112.9,110.1,2.8,103.7,0.288,0.501,0.578,0.537,12.6,21,0.228,0.529,13.7,75.6,0.197,Toyota Center,578458,18077
8,Miami Heat*,25.9,44,29,43,30,2.95,-0.35,2.59,112.5,109.5,3,98.3,0.299,0.419,0.587,0.547,13.5,20.3,0.234,0.523,12.6,79.5,0.213,AmericanAirlines Arena,629771,19680
9,Utah Jazz*,27.3,44,28,42,30,2.47,0.05,2.52,112.3,109.9,2.4,98.6,0.268,0.414,0.585,0.549,13.7,21.6,0.208,0.518,11.1,78.9,0.185,Vivint Smart Home Arena,567486,18306
10,Denver Nuggets*,25.6,46,27,41,32,2.11,0.24,2.35,113.1,111,2.1,97.1,0.235,0.344,0.567,0.535,12.3,24.8,0.183,0.533,12.9,76.8,0.198,Pepsi Center,633153,19186
11,Oklahoma City Thunder*,25.5,44,28,41,31,1.99,0.34,2.33,110.8,108.8,2,98.8,0.29,0.353,0.573,0.53,12.4,19.3,0.231,0.518,12.6,76.8,0.173,Chesapeake Energy Arena,600699,18203
12,Philadelphia 76ers*,26.3,43,30,42,31,2.38,-0.13,2.25,111.3,109,2.3,99,0.255,0.36,0.566,0.534,12.7,23.9,0.193,0.523,12.5,80.3,0.214,Wells Fargo Center,639491,20629
13,Indiana Pacers*,25.6,45,28,41,32,1.96,-0.33,1.63,110,108,2,98.9,0.216,0.317,0.565,0.534,12,20,0.17,0.511,13,76.7,0.192,Bankers Life Fieldhouse,529002,16531
14,Phoenix Suns,24.6,34,39,37,36,0.22,0.35,0.56,111.7,111.4,0.3,101.3,0.271,0.361,0.576,0.532,13,22.2,0.226,0.539,13.7,78.8,0.221,Talking Stick Resort Arena,550633,15606
15,New Orleans Pelicans,25.4,30,42,33,39,-1.29,0.74,-0.55,110.7,111.9,-1.2,103.7,0.256,0.403,0.568,0.539,13.9,24.2,0.186,0.532,12.4,77.8,0.212,Smoothie King Center,528172,16505
16,Portland Trail Blazers*,27.5,35,39,34,40,-1.15,0.54,-0.61,113.7,114.8,-1.1,100.7,0.242,0.374,0.57,0.533,11.2,22.4,0.194,0.53,11.2,75.3,0.208,Moda Center,628303,19634
17,San Antonio Spurs,27.6,32,39,33,38,-1.11,0.46,-0.65,112.4,113.5,-1.1,100.5,0.262,0.318,0.572,0.531,11.2,20.1,0.212,0.542,11.7,79.2,0.193,AT&T Center,550515,18351
18,Memphis Grizzlies,24.1,34,39,34,39,-1.07,0.16,-0.91,109.2,110.3,-1.1,102.8,0.24,0.346,0.561,0.528,13.2,23,0.183,0.521,12.7,77.8,0.217,FedEx Forum,523297,15857
19,Orlando Magic*,26.1,33,40,34,39,-1.01,0.09,-0.93,108.5,109.5,-1,98.6,0.256,0.364,0.544,0.506,11.5,22.3,0.198,0.535,13.2,79.1,0.176,Amway Center,529870,17093
20,Brooklyn Nets*,26.3,35,37,35,37,-0.57,-0.44,-1.01,108.9,109.5,-0.6,101.4,0.267,0.423,0.554,0.52,13.1,23.2,0.199,0.511,11,77.8,0.187,Barclays Center,524907,16403
21,Sacramento Kings,27,31,41,31,41,-2.04,0.46,-1.59,110.2,112.2,-2,98.9,0.23,0.395,0.566,0.534,13,21.9,0.177,0.543,13.6,78.4,0.225,Golden 1 Center,520663,16796
22,Chicago Bulls,24.4,22,43,26,39,-3.08,-0.93,-4,106.7,109.8,-3.1,99.7,0.231,0.396,0.547,0.515,13.7,22.8,0.175,0.546,16.3,75.6,0.239,United Center,639352,18804
23,Minnesota Timberwolves,24.8,19,45,24,40,-4.3,0.28,-4.02,108.1,112.2,-4.1,103.4,0.277,0.433,0.551,0.514,13,22.1,0.209,0.541,13.2,77.2,0.218,Target Center,482112,15066
24,Detroit Pistons,25.9,20,46,26,40,-3.56,-0.82,-4.38,109,112.7,-3.7,97.6,0.261,0.381,0.561,0.529,13.8,22.6,0.194,0.541,12.7,75.9,0.186,Little Caesars Arena,509469,15294
25,Washington Wizards,25.1,25,47,26,46,-4.67,-0.57,-5.24,110.9,115.5,-4.6,102.7,0.27,0.358,0.562,0.523,12.2,22.2,0.213,0.558,13.9,75.3,0.231,Capital One Arena,532702,16647
26,New York Knicks,24.5,21,45,20,46,-6.45,-0.26,-6.72,106.5,113,-6.5,98.6,0.263,0.318,0.531,0.501,12.6,25.8,0.182,0.541,12.4,78.3,0.224,Madison Square Garden (IV),620789,18812
27,Charlotte Hornets,24.3,23,42,19,46,-6.75,-0.28,-7.03,106.3,113.3,-7,95.8,0.252,0.399,0.539,0.504,13.3,23.9,0.188,0.546,13.1,74.4,0.159,Spectrum Center,478591,15428
28,Atlanta Hawks,24.1,20,47,18,49,-7.97,0.27,-7.71,107.2,114.8,-7.6,103,0.258,0.398,0.554,0.515,13.8,21.6,0.204,0.543,12.7,74.9,0.233,State Farm Arena,545453,16043
29,Cleveland Cavaliers,25,19,46,18,47,-7.89,0.12,-7.77,107.5,115.4,-7.9,98.7,0.227,0.362,0.553,0.522,14.6,24.6,0.172,0.56,11.7,77.4,0.164,Quicken Loans Arena,643008,17861
30,Golden State Warriors,24.4,15,50,16,49,-8.71,0.59,-8.12,105.2,113.8,-8.6,100.3,0.264,0.355,0.54,0.497,13.2,21.5,0.212,0.553,13.7,76.4,0.193,Chase Center,614176,18064
,League Average,26.2,,,35,35,0,0,0,110.6,110.6,,100.3,0.26,0.384,0.565,0.529,12.8,22.5,0.201,0.529,12.8,77.5,0.201,,575820,17788
