Cases_vs_median,,,,Deaths_vs_median,,
,CV_error,CV_error_SE,,,CV_error,CV_error_SE
KNN ,0.2350595,0.08279182,,KNN ,0.2519643,0.09341216
Logistic Regression,0.2051786,0.11602243,,Logistic Regression,0.2301786,0.10910644
Linear SVM ,0.238631,0.14153751,,Linear SVM ,0.2342262,0.10140432
Radial SVM,0.2484524,_0.10199887,,Radial SVM,0.238631,0.11533
Polynomial SVM,0.2502381,0.13471454,,Polynomial SVM,0.2872619,0.11550932
QDA ,0.2573214,0.12212815,,QDA ,0.2332738,0.09504049
Lasso  ,0.1690476,0.09120253,,Lasso  ,0.2016071,0.08643557
Ridge ,0.2025,0.11345487,,Ridge ,0.2082738,0.0896542
Random Forest ,0.197619,_0.09852584,,Random Forest ,0.1828571,0.13205429
